solution_npz,solution_meta,bundle_id,model,dataset,bw_d2e_mbps,bw_e2c_mbps
,,deit-small-cifar10-ee-v1,deit-small,cifar10,20.0,50.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,20.0,100.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,50.0,10.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,50.0,50.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,50.0,100.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,1.0,10.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,1.0,50.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,1.0,100.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,5.0,10.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,5.0,50.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,5.0,100.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,10.0,10.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,10.0,50.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,10.0,100.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,20.0,10.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,20.0,50.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,20.0,100.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,50.0,10.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,50.0,50.0
,,deit-small-neucls64-ee-v1,deit-small,neucls64,50.0,100.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,1.0,10.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,1.0,50.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,1.0,100.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,5.0,10.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,5.0,50.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,5.0,100.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,10.0,10.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,10.0,50.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,10.0,100.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,20.0,10.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,20.0,50.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,20.0,100.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,50.0,10.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,50.0,50.0
,,deit-small-imagenet100-ee-v1,deit-small,imagenet100,50.0,100.0
